,startYearNumeric,runtimeNumeric
0,1993,96.10764305722289
1,1994,94.45985676592537
2,1995,93.90310786106033
3,1996,95.02991452991454
4,1997,93.51605504587155
5,1998,92.4758446479318
6,1999,93.06930992736078
7,2000,91.83830845771145
8,2001,91.8355382619974
9,2002,92.15621963070943
10,2003,91.0428508963708
11,2004,92.15248363496342
12,2005,89.91093535075653
13,2006,89.984437596302
14,2007,89.22313572767922
15,2008,88.5295566502463
16,2009,87.4839159339481
17,2010,87.60784506488399
18,2011,88.70118260545675
19,2012,91.58051724137931
20,2013,88.44902421248685
21,2014,87.86356684001224
22,2015,89.23116400148754
23,2016,89.20778847535566
24,2017,89.78443030006295
25,2018,90.68585249579361
26,2019,97.93802535973785
27,2020,91.98872115217769
28,2021,89.75897560580275
29,2022,93.05823575331772
30,2023,92.12300319488818
