Titre,Année de sortie,Temps du film,Genres,Note du film,numVotes
The Kashmir Files,2022,170.0,Drama,8.7,564397
K.G.F: Chapter 2,2022,168.0,"Action,Crime,Drama",8.3,138997
Top Gun: Maverick,2022,130.0,"Action,Drama",8.3,579042
Puss in Boots: The Last Wish,2022,102.0,"Adventure,Animation,Comedy",7.9,124420
Everything Everywhere All at Once,2022,139.0,"Action,Adventure,Comedy",7.9,438748
The Batman,2022,176.0,"Action,Crime,Drama",7.8,695397
RRR,2022,187.0,"Action,Drama",7.8,148511
All Quiet on the Western Front,2022,148.0,"Action,Drama,War",7.8,200578
Avatar: The Way of Water,2022,192.0,"Action,Adventure,Fantasy",7.7,372204
The Banshees of Inisherin,2022,114.0,"Comedy,Drama",7.7,203471
